action_id,report_id,type,name,id,start,end
1134,17,watching channel,REHBER TV,915,1.51024E+12,1.51024E+12
1135,17,watching channel,SAT 7 TURK,922,1.51024E+12,1.51024E+12
1136,17,watching channel,TEVE 2,927,1.51024E+12,1.51024E+12
1137,17,watching channel,360,928,1.51024E+12,1.51024E+12
1138,17,watching channel,DREAM,929,1.51024E+12,1.51024E+12
1139,17,watching channel,LIWAN TV,926,1.51024E+12,1.51024E+12
1140,17,watching channel,SRT,921,1.51024E+12,1.51024E+12
1141,17,watching channel,MEDINE TV,914,1.51024E+12,1.51024E+12
1142,17,watching channel,SPORTS TV,913,1.51024E+12,1.51024E+12
1143,17,watching channel,HILAL TV,912,1.51024E+12,1.51024E+12
1144,17,watching channel,A9,920,1.51024E+12,1.51024E+12
1145,17,watching channel,TV KAYSERI,911,1.51024E+12,1.51024E+12
1146,17,watching channel,TV 2000,910,1.51024E+12,1.51024E+12
1147,17,watching channel,TV 100,909,1.51024E+12,1.51024E+12
1148,17,watching channel,TV 41,906,1.51024E+12,1.51024E+12
1149,17,watching channel,TV 5,905,1.51024E+12,1.51024E+12
1150,17,watching channel,TV 4,904,1.51024E+12,1.51024E+12
1151,17,watching channel,TV 52,907,1.51024E+12,1.51024E+12
1152,17,watching channel,NUMBER ONE,903,1.51024E+12,1.51024E+12
1153,17,watching channel,TV 100,908,1.51024E+12,1.51024E+12
1154,17,watching channel,FASHION ONE,902,1.51024E+12,1.51024E+12
1155,17,watching channel,POWER TURK HD,901,1.51024E+12,1.51024E+12
1156,17,watching channel,DIYALOG TV,900,1.51024E+12,1.51024E+12
1157,17,watching channel,KANAL 3,899,1.51024E+12,1.51024E+12
1158,17,watching channel,KANAL 24,898,1.51024E+12,1.51024E+12
1159,17,watching channel,KANAL 68,897,1.51024E+12,1.51024E+12
1160,17,watching channel,KANAL TAK,896,1.51024E+12,1.51024E+12
1161,17,watching channel,KANAL URFA,895,1.51024E+12,1.51024E+12
1162,17,watching channel,KANAL Z,894,1.51024E+12,1.51024E+12
1163,17,watching channel,KANAL T,893,1.51024E+12,1.51024E+12
1164,17,watching channel,AVRUPA  7,892,1.51024E+12,1.51024E+12
1165,17,watching channel,KANAL D,891,1.51024E+12,1.51024E+12
1166,17,watching channel,KANAL B,890,1.51024E+12,1.51024E+12
1167,17,watching channel,KANAL A,889,1.51024E+12,1.51024E+12
1168,17,watching channel,B TV,888,1.51024E+12,1.51024E+12
1169,17,watching channel,A TV,887,1.51024E+12,1.51024E+12
1170,17,watching channel,SHOW MAX,886,1.51024E+12,1.51024E+12
1171,17,watching channel,SHOW TV,885,1.51024E+12,1.51024E+12
1172,17,watching channel,STAR TV,884,1.51024E+12,1.51024E+12
1173,17,watching channel,FOX,883,1.51024E+12,1.51024E+12
1174,17,watching channel,TGRT BELGESEL,882,1.51024E+12,1.51024E+12
1175,17,watching channel,TGRT EU,881,1.51024E+12,1.51024E+12
1176,17,watching channel,ISTANBUL 1,880,1.51024E+12,1.51024E+12
1177,17,watching channel,TRT TURK,879,1.51024E+12,1.51024E+12
1178,17,watching channel,TRT DIYANET,878,1.51024E+12,1.51024E+12
1179,17,watching channel,TRT OKUL,877,1.51024E+12,1.51024E+12
1180,17,watching channel,TRT MUZIK,876,1.51024E+12,1.51024E+12
1181,17,watching channel,TRT BELGESEL HD,875,1.51024E+12,1.51024E+12
1182,17,watching channel,TRT COCUK,874,1.51024E+12,1.51024E+12
1183,17,watching channel,TRT ARABIC,873,1.51024E+12,1.51024E+12
1184,17,watching channel,TRT AVAZ,872,1.51024E+12,1.51024E+12
1185,17,watching channel,TRT SPOR ,871,1.51024E+12,1.51024E+12
1186,17,watching channel,TRT HABER,870,1.51024E+12,1.51024E+12
1187,17,watching channel,TRT WORLD,869,1.51024E+12,1.51024E+12
1188,17,watching channel,TRT 1-HD,868,1.51024E+12,1.51024E+12
1189,17,watching channel,ANIMAL PLANET,867,1.51024E+12,1.51024E+12
1190,17,watching channel,BLOOMBERG ,866,1.51024E+12,1.51024E+12
1191,17,watching channel,LIG TV 3-HD,865,1.51024E+12,1.51024E+12
1192,17,watching channel,LIG TV 2-HD,864,1.51024E+12,1.51024E+12
1193,17,watching channel,LIG TV 1-HD,863,1.51024E+12,1.51024E+12
1194,17,watching channel,TJK TV,862,1.51024E+12,1.51024E+12
1195,17,watching channel,BENGU TURK,861,1.51024E+12,1.51024E+12
1196,17,watching channel,CARTOON NETWORK,860,1.51024E+12,1.51024E+12
1197,17,watching channel,CNN TURK,859,1.51024E+12,1.51024E+12
1198,17,watching channel,ZAYTOONA,858,1.51024E+12,1.51024E+12
1199,17,watching channel,ATTESSIA TV,857,1.51024E+12,1.51024E+12
1200,17,watching channel,AL JANOUBIA TV,856,1.51024E+12,1.51024E+12
1201,17,watching channel,HANNIBAL TV,855,1.51024E+12,1.51024E+12
1202,17,watching channel,M TUNISIA,854,1.51024E+12,1.51024E+12
1203,17,watching channel,TUNISIA NATIONAL 2,853,1.51024E+12,1.51024E+12
1204,17,watching channel,TUNISIA NATIONAL 1,852,1.51024E+12,1.51024E+12
1205,17,watching channel,NESSMA,851,1.51024E+12,1.51024E+12
1206,17,watching channel,EL HIWAR ETTOUNSI,850,1.51024E+12,1.51024E+12
1207,17,watching channel,SHEBA,1186,1.51024E+12,1.51024E+12
1208,17,watching channel,MEA TV,849,1.51024E+12,1.51024E+12
1209,17,watching channel,HALA,1180,1.51024E+12,1.51024E+12
1210,17,watching channel,SUHAIL TV,848,1.51024E+12,1.51024E+12
1211,17,watching channel,MUSAWA,1179,1.51024E+12,1.51024E+12
1212,17,watching channel,RUSHD TV,847,1.51024E+12,1.51024E+12
1213,18,watching channel,Fox News,20,1.51023E+12,1.51023E+12
1214,18,watching channel,Fox News,20,1.51023E+12,1.51025E+12
1215,18,watching channel,TBS,47,1.51025E+12,1.51025E+12
1216,18,watching channel,HGTV,49,1.51025E+12,1.51025E+12
1217,18,watching channel,Animal Planet,70,1.51025E+12,1.51025E+12
1218,18,watching channel,NickE,58,1.51025E+12,1.51025E+12
1219,18,watching channel,Disney,29,1.51025E+12,1.51025E+12
1220,18,watching channel,Nick Jr,72,1.51025E+12,1.51025E+12
1221,18,watching channel,Cartoon,28,1.51025E+12,1.51025E+12
1222,18,watching channel,TNT,46,1.51025E+12,1.51025E+12
1223,18,watching channel,TBS,47,1.51025E+12,1.51025E+12
1224,18,watching channel,Inv Discovery,48,1.51025E+12,1.51025E+12
1225,18,watching channel,Bravo,41,1.51025E+12,1.51025E+12
1226,18,watching channel,WE,87,1.51025E+12,1.51025E+12
1227,18,watching channel,Lifetime watching movies,63,1.51025E+12,1.51025E+12
1228,18,watching channel,Turner Classic,60,1.51025E+12,1.51025E+12
1229,18,watching channel,LifeTime,61,1.51025E+12,1.51025E+12
1230,18,watching channel,AMC,69,1.51025E+12,1.51025E+12
1231,18,watching channel,Hallmark,83,1.51025E+12,1.51025E+12
1232,18,watching channel,BBC America,62,1.51025E+12,1.51025E+12
1233,18,watching channel,TruTV,53,1.51025E+12,1.51025E+12
1234,18,watching channel,Comedy Central,44,1.51025E+12,1.51025E+12
1235,18,watching channel,Cook,85,1.51025E+12,1.51025E+12
1236,18,watching channel,Comedy Central,44,1.51025E+12,1.51025E+12
1237,18,watching channel,TruTV,53,1.51025E+12,1.51026E+12
