"report_id","user_id","date","device","ui","version","client","cms","crm","city","state","country","network_speed","network_latency"
"76","1000368","6127200","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Detroit","MI","United States","0.00","0.00"
"77","1000621","1509919200","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"78","1000121","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Scarborough","ON","Canada","0.00","0.00"
"79","1000204","1509919200","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Sacramento","CA","United States","0.00","0.00"
"80","100000081","1510092000","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"81","1000234","79200","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","East Lansing","MI","United States","0.00","0.00"
"82","1000674","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Auckland","AUK","New Zealand","0.00","0.00"
"83","1000107","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Richmond","VA","United States","0.00","0.00"
"84","1000179","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"85","1000170","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"86","1000016","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Sterling Heights","MI","United States","0.00","0.00"
"87","1000714","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Mississauga","ON","Canada","0.00","0.00"
"88","1000825","1510178400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Stuttgart","BW","Germany","0.00","0.00"
"89","1000099","165600","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Sherman","TX","United States","0.00","0.00"
"90","1000127","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Hatfield","ENG","United Kingdom","0.00","0.00"
"91","1000135","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Miramar Beach","FL","United States","0.00","0.00"
"92","1000914","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Mankato","MN","United States","0.00","0.00"
"93","1000431","1510178400","_TelergyHD_Android [thd709qc]",,,"Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"94","1000189","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"95","1000592","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Oslo","03","Norway","0.00","0.00"
"96","1000613","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Oldenburg","NI","Germany","0.00","0.00"
"97","1000004","1510264800","_WebTV [local]",,,"EllasTV","Ellas","EllasTV","Gouda","ZH","Netherlands","0.00","0.00"
"98","1000004","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","Optimum","Optimum","Optimum_TV","Amsterdam","NH","Netherlands","0.00","0.00"
"99","1000518","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"100","1000165","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
